Productcat,Date,Sales
ProdCat33,29-03-2014,
ProdCat34,01-03-2014,
ProdCat34,04-03-2014,
ProdCat34,05-03-2014,
ProdCat34,06-03-2014,
ProdCat34,07-03-2014,
ProdCat34,08-03-2014,
ProdCat34,11-03-2014,
ProdCat34,12-03-2014,
ProdCat34,13-03-2014,
ProdCat34,14-03-2014,
ProdCat34,15-03-2014,
ProdCat34,18-03-2014,
ProdCat34,19-03-2014,
ProdCat34,20-03-2014,
ProdCat34,21-03-2014,
ProdCat34,22-03-2014,
ProdCat34,25-03-2014,
ProdCat34,26-03-2014,
ProdCat34,27-03-2014,
ProdCat34,28-03-2014,
ProdCat34,29-03-2014,
ProdCat35,01-03-2014,
ProdCat35,04-03-2014,
ProdCat35,05-03-2014,
ProdCat35,06-03-2014,
ProdCat35,07-03-2014,
ProdCat35,08-03-2014,
ProdCat35,11-03-2014,
ProdCat35,12-03-2014,
ProdCat35,13-03-2014,
ProdCat35,14-03-2014,
ProdCat35,15-03-2014,
ProdCat35,18-03-2014,
ProdCat35,19-03-2014,
ProdCat35,20-03-2014,
ProdCat35,21-03-2014,
ProdCat35,22-03-2014,
ProdCat35,25-03-2014,
ProdCat35,26-03-2014,
ProdCat35,27-03-2014,
ProdCat35,28-03-2014,
ProdCat35,29-03-2014,
ProdCat36,01-03-2014,
ProdCat36,04-03-2014,
ProdCat36,05-03-2014,
ProdCat36,06-03-2014,
ProdCat36,07-03-2014,
ProdCat36,08-03-2014,
ProdCat36,11-03-2014,
ProdCat36,12-03-2014,
ProdCat36,13-03-2014,
ProdCat36,14-03-2014,
ProdCat36,15-03-2014,
ProdCat36,18-03-2014,
ProdCat36,19-03-2014,
ProdCat36,20-03-2014,
ProdCat36,21-03-2014,
ProdCat36,22-03-2014,
ProdCat36,25-03-2014,
ProdCat36,26-03-2014,
ProdCat36,27-03-2014,
ProdCat36,28-03-2014,
ProdCat36,29-03-2014,
ProdCat37,01-03-2014,
ProdCat37,04-03-2014,
ProdCat37,05-03-2014,
ProdCat37,06-03-2014,
ProdCat37,07-03-2014,
